2023-12-20 02:40:41,238 - logs - INFO - Starting UDP server
2023-12-20 02:46:25,222 - logs - INFO - google.com.ve.---('117.250.140.42', 8329)---172.253.122.103
2023-12-20 02:46:25,222 - logs - INFO - google.com.bd.---('117.250.140.42', 63676)---172.253.62.94
2023-12-20 02:46:25,222 - logs - INFO - google.com.ng.---('117.250.140.42', 5065)---142.251.16.94
2023-12-20 02:46:25,224 - logs - INFO - google.com.pe.---('117.250.140.42', 48725)---142.251.111.94
2023-12-20 02:46:25,224 - logs - INFO - google.cl.---('117.250.140.42', 54087)---142.251.163.94
2023-12-20 02:46:25,225 - logs - INFO - google.com.bd.---('117.250.140.42', 40362)---172.253.62.94
2023-12-20 02:46:25,226 - logs - INFO - google.cl.---('117.250.140.42', 22028)---142.251.163.94
2023-12-20 02:46:25,226 - logs - INFO - google.com.pe.---('117.250.140.42', 56949)---142.251.111.94
2023-12-20 02:46:25,399 - logs - INFO - google.com.eg.---('117.250.140.42', 26441)---216.239.32.10
2023-12-20 02:46:25,400 - logs - INFO - google.ch.---('117.250.140.42', 32517)---142.251.163.94
2023-12-20 02:46:25,400 - logs - INFO - google.com.ve.---('117.250.140.42', 56142)---172.253.122.103
2023-12-20 02:46:25,401 - logs - INFO - google.com.bd.---('117.250.140.42', 18657)---172.253.62.94
2023-12-20 02:46:25,401 - logs - INFO - google.com.gr.---('117.250.140.42', 43714)---172.253.62.94
2023-12-20 02:46:25,401 - logs - INFO - google.com.ve.---('117.250.140.42', 44390)---172.253.122.103
2023-12-20 02:46:25,402 - logs - INFO - google.com.co.---('117.250.140.42', 28537)---142.251.111.94
2023-12-20 02:46:25,402 - logs - INFO - google.com.gr.---('117.250.140.42', 35470)---172.253.62.94
2023-12-20 02:46:25,403 - logs - INFO - google.ch.---('117.250.140.42', 17585)---142.251.163.94
2023-12-20 03:52:48,819 - logs - INFO - Malicious domain from --- ('106.213.155.24', 4715) --- for btmi.blogspot.com.
2023-12-20 03:52:48,820 - logs - INFO - Malicious domain from --- ('106.213.155.24', 4717) --- for doingneedleworkdeep.com.
2023-12-20 02:46:25,404 - logs - INFO - google.com.sg.---('117.250.140.42', 42676)---172.253.63.94
2023-12-20 02:46:25,404 - logs - INFO - google.cl.---('117.250.140.42', 16004)---142.251.163.94
2023-12-20 02:46:25,578 - logs - INFO - google.com.eg.---('117.250.140.42', 3459)---172.253.63.94
2023-12-20 02:46:25,578 - logs - INFO - google.com.sg.---('117.250.140.42', 55344)---172.253.63.94
2023-12-20 02:46:25,579 - logs - INFO - google.com.co.---('117.250.140.42', 19530)---142.251.111.94
2023-12-20 02:46:25,579 - logs - INFO - google.com.pe.---('117.250.140.42', 25512)---142.251.111.94
2023-12-20 02:46:25,579 - logs - INFO - google.com.ng.---('117.250.140.42', 41760)---142.251.16.94
2023-12-20 02:46:25,580 - logs - INFO - google.ch.---('117.250.140.42', 14660)---142.251.163.94
2023-12-20 02:47:04,139 - logs - INFO - www.google.com.---('117.250.140.42', 42148)---142.251.163.147
2023-12-20 02:48:26,741 - logs - INFO - nivartak.me.---('117.250.140.42', 39994)---156.154.133.200
2023-12-20 03:09:11,945 - logs - INFO - Malicious domain from --- ('117.250.140.42', 6307) --- for www.auditrade.pro.
2023-12-20 03:14:54,965 - logs - INFO - nivartak.me.---('117.250.140.42', 2922)---156.154.133.200
2023-12-20 03:16:43,388 - logs - INFO - nivartak.me.---('117.250.140.42', 14471)---156.154.132.200
2023-12-20 03:16:58,036 - logs - INFO - nivartak.me.---('117.250.140.42', 41687)---54.235.84.74
2023-12-20 03:17:16,313 - logs - INFO - nivartak.me.---('117.250.140.42', 30433)---54.235.84.74
2023-12-19 10:07:14,381 - logs - INFO - amazon.in.---('34.135.65.1', 32822)---54.239.33.92
2023-12-19 10:07:14,613 - logs - INFO - sih.gov.in.---('34.135.65.1', 52064)---20.204.13.165
2023-12-19 10:07:14,843 - logs - INFO - facebook.com.---('34.135.65.1', 53168)---31.13.79.35
2023-12-19 10:07:15,072 - logs - INFO - stackoverflow.com.---('34.135.65.1', 36429)---104.18.32.7
2023-12-19 10:07:15,302 - logs - INFO - github.com.---('34.135.65.1', 58210)---20.207.73.82
2023-12-19 10:07:15,742 - logs - INFO - linkedin.com.---('34.135.65.1', 50502)---13.107.42.14
2023-12-19 10:07:32,288 - logs - INFO - amazon.in.---('34.135.65.1', 54481)---54.239.33.92
2023-12-19 10:07:32,518 - logs - INFO - sih.gov.in.---('34.135.65.1', 36743)---20.204.13.165
2023-12-19 10:07:32,748 - logs - INFO - facebook.com.---('34.135.65.1', 55549)---31.13.79.35
2023-12-19 10:07:32,978 - logs - INFO - stackoverflow.com.---('34.135.65.1', 42652)---104.18.32.7
2023-12-19 10:07:33,207 - logs - INFO - github.com.---('34.135.65.1', 35958)---20.207.73.82
2023-12-19 10:07:33,444 - logs - INFO - linkedin.com.---('34.135.65.1', 34921)---13.107.42.14
2023-12-19 10:30:37,286 - logs - INFO - amazon.in.---('34.135.65.1', 37959)---54.239.33.92
2023-12-19 10:30:37,516 - logs - INFO - sih.gov.in.---('34.135.65.1', 43715)---20.204.13.165
2023-12-19 10:30:37,758 - logs - INFO - facebook.com.---('34.135.65.1', 37393)---31.13.79.35
2023-12-19 10:30:37,998 - logs - INFO - stackoverflow.com.---('34.135.65.1', 53658)---104.18.32.7
2023-12-19 10:30:38,229 - logs - INFO - github.com.---('34.135.65.1', 42133)---20.207.73.82
2023-12-19 10:30:38,476 - logs - INFO - linkedin.com.---('34.135.65.1', 53109)---13.107.42.14
2023-12-19 10:34:50,551 - logs - INFO - amazon.in.---('34.135.65.1', 48256)---54.239.33.92
2023-12-19 10:34:50,792 - logs - INFO - sih.gov.in.---('34.135.65.1', 47135)---20.204.13.165
2023-12-19 10:34:51,022 - logs - INFO - facebook.com.---('34.135.65.1', 34195)---31.13.79.35
2023-12-19 10:34:51,252 - logs - INFO - stackoverflow.com.---('34.135.65.1', 39306)---104.18.32.7
2023-12-19 10:34:51,481 - logs - INFO - github.com.---('34.135.65.1', 53174)---20.207.73.82
2023-12-19 10:34:51,733 - logs - INFO - linkedin.com.---('34.135.65.1', 58991)---13.107.42.14
